uni,score,year
University of Aberdeen,87.0,2018
University of Abertay Dundee,84.0,2018
Aberystwyth University,91.0,2018
Abingdon and Witney College,76.0,2018
Access to Music Limited,37.0,2018
ACM Guildford Limited,67.0,2018
Activate Learning,85.0,2018
AECC University College,100.0,2018
All Nations Christian College Limited,100.0,2018
ALRA,93.0,2018
Alton College,79.0,2018
Anglia Ruskin University Higher Corporation,83.0,2018
Architectural Association (Incorporated),91.0,2018
Arden University Limited,83.0,2018
Arts Educational Schools(The),97.0,2018
"Arts University Bournemouth, the",81.0,2018
"University of the Arts, London",73.0,2018
Ashton Sixth Form College,95.0,2018
Askham Bryan College,82.0,2018
Assemblies of God Incorporated,95.0,2018
Association of British Dispensing Opticians(The),95.0,2018
Aston University,88.0,2018
Aylesbury College,74.0,2018
Backstage Academy (training) Ltd,70.0,2018
Bangor University,90.0,2018
Barking and Dagenham College,53.0,2018
Barnet & Southgate College,95.0,2018
Barnsley College,69.0,2018
The University of Bath,88.0,2018
Bath College,74.0,2018
Bath Spa University,80.0,2018
BCNO Limited,71.0,2018
Bedford College,79.0,2018
University of Bedfordshire,82.0,2018
Bellerbys Educational Services Limited,93.0,2018
"Berkshire College of Agriculture, the (BCA)",74.0,2018
BIMM Limited,63.0,2018
Birkbeck College,84.0,2018
The University of Birmingham,89.0,2018
University College Birmingham,81.0,2018
Birmingham City University,82.0,2018
Birmingham Community Healthcare NHS Foundation Trust,75.0,2018
Birmingham Metropolitan College,71.0,2018
Bishop Auckland College,84.0,2018
Bishop Burton College,72.0,2018
Bishop Grosseteste University,85.0,2018
Blackburn College,81.0,2018
Blackpool and the Fylde College,85.0,2018
Bloomsbury Institute Limited,95.0,2018
The University of Bolton,85.0,2018
Bolton College,87.0,2018
Boston College,100.0,2018
"Bournemouth and Poole College, The",63.0,2018
Bournemouth University,81.0,2018
BPP University Limited,78.0,2018
The University of Bradford,81.0,2018
Bradford College,81.0,2018
Bridgend College,73.0,2018
Bridgwater and Taunton College,81.0,2018
University of Brighton,80.0,2018
Brit College Limited,89.0,2018
Bromley College of Further and Higher Education,70.0,2018
Brooklands College,63.0,2018
BMC (Brooksby Melton College),70.0,2018
Brunel University London,84.0,2018
The University of Buckingham,94.0,2018
Buckinghamshire New University,79.0,2018
Burton and South Derbyshire College,73.0,2018
Bury College,84.0,2018
Callington Community College,95.0,2018
Cambridge Arts & Sciences Limited,96.0,2018
Cambridge Regional College,67.0,2018
The Cambridge Theological Federation,83.0,2018
Canterbury Christ Church University,82.0,2018
Cardiff and Vale College,65.0,2018
Cardiff Metropolitan University,84.0,2018
Cardiff University,84.0,2018
Central Bedfordshire College,92.0,2018
University of Central Lancashire,82.0,2018
Cheshire College South and West,75.0,2018
University of Chester,86.0,2018
Chesterfield College,79.0,2018
The University of Chichester,87.0,2018
Chichester College Group,85.0,2018
The Chicken Shed Theatre Trust,75.0,2018
Cirencester College,100.0,2018
City and Guilds of London Art School Limited,73.0,2018
City College Norwich,70.0,2018
City College Plymouth,79.0,2018
City of Bristol College,80.0,2018
The City of Liverpool College,78.0,2018
City of Wolverhampton College,92.0,2018
"City, University of London",82.0,2018
Cliff College,82.0,2018
Colchester Institute,71.0,2018
The Conservatoire for Dance and Drama,87.0,2018
Cornwall College,81.0,2018
Court Theatre Training Company Ltd,64.0,2018
Coventry College,86.0,2018
Coventry University,87.0,2018
Craven College,78.0,2018
University for the Creative Arts,79.0,2018
Croydon College,72.0,2018
The University of Cumbria,75.0,2018
CWR,93.0,2018
Darlington College,62.0,2018
DCG,57.0,2018
De Montfort University,85.0,2018
University of Derby,85.0,2018
DN Colleges Group,78.0,2018
Doreen Bird College of Performing Arts Ltd.,77.0,2018
Dudley College of Technology,97.0,2018
University of Dundee,90.0,2018
University of Durham,89.0,2018
The University of East Anglia,90.0,2018
East Coast College,82.0,2018
East Durham College,97.0,2018
East End Computing & Business College Limited,85.0,2018
University of East London,84.0,2018
East Riding College,78.0,2018
East Surrey College,79.0,2018
East Sussex College Group,89.0,2018
Eastleigh College,88.0,2018
Easton and Otley College,83.0,2018
Edge Hill University,84.0,2018
Edge Hotel School Limited,88.0,2018
University of Edinburgh,83.0,2018
Edinburgh Napier University,80.0,2018
EKC Group,87.0,2018
Elim Foursquare Gospel Alliance,100.0,2018
Empire College London Limited,100.0,2018
The University of Essex,88.0,2018
University College of Estate Management,76.0,2018
University of Exeter,88.0,2018
Exeter College,87.0,2018
Fairfield School of Business Ltd,78.0,2018
Falmouth University,83.0,2018
Farnborough College of Technology,84.0,2018
ForMission Ltd,74.0,2018
Furness College,66.0,2018
Futureworks Training Limited,91.0,2018
Gateshead College,72.0,2018
